UTC Time,Latitude,Longitude,GForce,satCount
135746,51.468219,5.383425,0.24,21
135746,51.468219,5.383425,0.33,21
135746,51.468219,5.383425,0.5,21
135746,51.468219,5.383425,0.48,21
135746,51.468219,5.383425,0.38,21
135746,51.468219,5.383425,0.53,21
135747,51.468154,5.383161,0.48,21
135747,51.468154,5.383161,0.56,21
135747,51.468154,5.383161,0.56,21
135747,51.468154,5.383161,0.6,21
135747,51.468154,5.383161,0.53,21
135747,51.468154,5.383161,0.59,21
135747,51.468154,5.383161,0.55,21
135747,51.468154,5.383161,0.67,21
135747,51.468154,5.383161,0.57,21
135747,51.468154,5.383161,0.67,21
135748,51.468062,5.382896,0.53,21
135748,51.468062,5.382896,0.66,21
135748,51.468062,5.382896,0.65,21
135748,51.468062,5.382896,0.79,21
135748,51.468062,5.382896,0.75,21
135748,51.468062,5.382896,0.74,21
135748,51.468062,5.382896,0.72,21
135748,51.468062,5.382896,0.76,21
135748,51.468062,5.382896,0.78,21
135748,51.468062,5.382896,0.68,21
135749,51.46793,5.382673,0.56,22
135749,51.46793,5.382673,0.42,22
135749,51.46793,5.382673,0.5,22
135749,51.46793,5.382673,0.28,22
135749,51.46793,5.382673,0.38,22
135749,51.46793,5.382673,0.24,22
135749,51.46793,5.382673,0.35,22
135749,51.46793,5.382673,0.23,22
135749,51.46793,5.382673,0.08,22
135749,51.46793,5.382673,0.22,22
135750,51.467758,5.38251,0.19,22
135750,51.467758,5.38251,0.33,22
135750,51.467758,5.38251,0.23,22
135750,51.467758,5.38251,0.41,22
135750,51.467758,5.38251,0.44,22
135750,51.467758,5.38251,0.43,22
135750,51.467758,5.38251,0.38,22
135750,51.467758,5.38251,0.48,22
135750,51.467758,5.38251,0.45,22
135750,51.467758,5.38251,0.42,22
135751,51.467576,5.382353,0.55,22
135751,51.467576,5.382353,0.5,22
135751,51.467576,5.382353,0.4,22
135751,51.467576,5.382353,0.43,22
135751,51.467576,5.382353,0.55,22
135751,51.467576,5.382353,0.49,22
135751,51.467576,5.382353,0.44,22
135751,51.467576,5.382353,0.46,22
135751,51.467576,5.382353,0.4,22
135752,51.467414,5.382168,0.43,22
135752,51.467414,5.382168,0.5,22
135752,51.467414,5.382168,0.56,22
135752,51.467414,5.382168,0.59,22
135752,51.467414,5.382168,0.48,22
135752,51.467414,5.382168,0.43,22
135752,51.467414,5.382168,0.45,22
135752,51.467414,5.382168,0.18,22
135752,51.467414,5.382168,0.27,22
135752,51.467414,5.382168,0.21,22
135752,51.467414,5.382168,0.34,22
135753,51.467294,5.381918,0.37,22
135753,51.467294,5.381918,0.38,22
135753,51.467294,5.381918,0.47,22
135753,51.467294,5.381918,0.54,22
135753,51.467294,5.381918,0.52,22
135753,51.467294,5.381918,0.56,22
135753,51.467294,5.381918,0.55,22
135753,51.467294,5.381918,0.59,22
135753,51.467294,5.381918,0.67,22
135753,51.467294,5.381918,0.62,22
135754,51.467199,5.381662,0.61,22
135754,51.467199,5.381662,0.63,22
135754,51.467199,5.381662,0.54,22
135754,51.467199,5.381662,0.37,22
135754,51.467199,5.381662,0.4,22
135754,51.467199,5.381662,0.37,22
135754,51.467199,5.381662,0.29,22
135754,51.467199,5.381662,0.22,22
135754,51.467199,5.381662,0.14,22
135754,51.467199,5.381662,0.17,22
135755,51.4671,5.381461,0.2,22
135755,51.4671,5.381461,0.17,22
135755,51.4671,5.381461,0.18,22
135755,51.4671,5.381461,0.17,22
135755,51.4671,5.381461,0.18,22
135755,51.4671,5.381461,0.18,22
135755,51.4671,5.381461,0.23,22
135755,51.4671,5.381461,0.25,22
135755,51.4671,5.381461,0.37,22
135755,51.4671,5.381461,0.39,22
135756,51.466991,5.381327,0.51,22
135756,51.466991,5.381327,0.59,22
135756,51.466991,5.381327,0.5,22
135756,51.466991,5.381327,0.7,22
135756,51.466991,5.381327,0.79,22
135756,51.466991,5.381327,0.6,22
135756,51.466991,5.381327,0.64,22
135756,51.466991,5.381327,0.6,22
135756,51.466991,5.381327,0.69,22
135757,51.466886,5.381228,0.62,22
135757,51.466886,5.381228,0.52,22
135757,51.466886,5.381228,0.39,22
135757,51.466886,5.381228,0.5,22
135757,51.466886,5.381228,0.11,22
135757,51.466886,5.381228,0.54,22
135757,51.466886,5.381228,0.45,22
135757,51.466886,5.381228,0.14,22
135757,51.466886,5.381228,0.12,22
135757,51.466886,5.381228,0.04,22
135758,51.46679,5.38117,0.21,22
135758,51.46679,5.38117,0.38,22
135758,51.46679,5.38117,0.14,22
135758,51.46679,5.38117,0.22,22
135758,51.46679,5.38117,0.24,22
135758,51.46679,5.38117,0.22,22
135758,51.46679,5.38117,0.29,22
135758,51.46679,5.38117,0.43,22
135758,51.46679,5.38117,0.53,22
135758,51.46679,5.38117,0.55,22
135759,51.466706,5.381111,0.6,22
135759,51.466706,5.381111,0.43,22
135759,51.466706,5.381111,0.34,22
135759,51.466706,5.381111,0.27,22
135759,51.466706,5.381111,0.27,22
135759,51.466706,5.381111,0.3,22
135759,51.466706,5.381111,0.35,22
135759,51.466706,5.381111,0.29,22
135759,51.466706,5.381111,0.27,22
135759,51.466706,5.381111,0.27,22
135800,51.466629,5.381012,0.33,22
135800,51.466629,5.381012,0.28,22
135800,51.466629,5.381012,0.3,22
135800,51.466629,5.381012,0.34,22
135800,51.466629,5.381012,0.35,22
135800,51.466629,5.381012,0.35,22
135800,51.466629,5.381012,0.31,22
135800,51.466629,5.381012,0.37,22
135800,51.466629,5.381012,0.34,22
135800,51.466629,5.381012,0.38,22
135801,51.466561,5.380856,0.34,22
135801,51.466561,5.380856,0.34,22
135801,51.466561,5.380856,0.35,22
135801,51.466561,5.380856,0.38,22
135801,51.466561,5.380856,0.41,22
135801,51.466561,5.380856,0.37,22
135801,51.466561,5.380856,0.39,22
135801,51.466561,5.380856,0.38,22
135801,51.466561,5.380856,0.41,22
135801,51.466561,5.380856,0.48,22
135802,51.466519,5.380652,0.49,22
135802,51.466519,5.380652,0.4,22
135802,51.466519,5.380652,0.41,22
135802,51.466519,5.380652,0.42,22
135802,51.466519,5.380652,0.4,22
135802,51.466519,5.380652,0.38,22
135802,51.466519,5.380652,0.44,22
135802,51.466519,5.380652,0.33,22
135802,51.466519,5.380652,0.36,22
135802,51.466519,5.380652,0.42,22
135803,51.466506,5.380424,0.44,22
135803,51.466506,5.380424,0.46,22
135803,51.466506,5.380424,0.43,22
135803,51.466506,5.380424,0.46,22
135803,51.466506,5.380424,0.38,22
135803,51.466506,5.380424,0.43,22
135803,51.466506,5.380424,0.49,22
135803,51.466506,5.380424,0.48,22
135803,51.466506,5.380424,0.44,22
135803,51.466506,5.380424,0.48,22
135804,51.466528,5.380183,0.5,22
135804,51.466528,5.380183,0.36,22
135804,51.466528,5.380183,0.41,22
135804,51.466528,5.380183,0.27,22
135804,51.466528,5.380183,0.25,22
135804,51.466528,5.380183,0.21,22
135804,51.466528,5.380183,0.23,22
135804,51.466528,5.380183,0.2,22
135804,51.466528,5.380183,0.29,22
135804,51.466528,5.380183,0.28,22
135805,51.466595,5.379928,0.24,22
135805,51.466595,5.379928,0.27,22
135805,51.466595,5.379928,0.23,22
135805,51.466595,5.379928,0.21,22
135805,51.466595,5.379928,0.26,22
135805,51.466595,5.379928,0.26,22
135805,51.466595,5.379928,0.27,22
135805,51.466595,5.379928,0.44,22
135805,51.466595,5.379928,0.39,22
135805,51.466595,5.379928,0.48,22
135806,51.466709,5.379696,0.52,22
135806,51.466709,5.379696,0.53,22
135806,51.466709,5.379696,0.52,22
135806,51.466709,5.379696,0.54,22
135806,51.466709,5.379696,0.52,22
135806,51.466709,5.379696,0.5,22
135806,51.466709,5.379696,0.47,22
135806,51.466709,5.379696,0.4,22
135806,51.466709,5.379696,0.36,22
135806,51.466709,5.379696,0.37,22
135807,51.466808,5.379502,0.18,22
135807,51.466808,5.379502,0.14,22
135807,51.466808,5.379502,0.3,22
135807,51.466808,5.379502,0.26,22
135807,51.466808,5.379502,0.25,22
135807,51.466808,5.379502,0.32,22
135807,51.466808,5.379502,0.49,22
135807,51.466808,5.379502,0.42,22
135807,51.466808,5.379502,0.46,22
135807,51.466808,5.379502,0.48,22
135808,51.466873,5.379366,0.51,22
135808,51.466873,5.379366,0.53,22
135808,51.466873,5.379366,0.44,22
135808,51.466873,5.379366,0.49,22
135808,51.466873,5.379366,0.51,22
135808,51.466873,5.379366,0.47,22
135808,51.466873,5.379366,0.43,22
135808,51.466873,5.379366,0.45,22
135808,51.466873,5.379366,0.43,22
135809,51.466938,5.379283,0.42,22
135809,51.466938,5.379283,0.52,22
135809,51.466938,5.379283,0.58,22
135809,51.466938,5.379283,0.49,22
135809,51.466938,5.379283,0.49,22
135809,51.466938,5.379283,0.62,22
135809,51.466938,5.379283,0.48,22
135809,51.466938,5.379283,0.59,22
135809,51.466938,5.379283,0.56,22
135809,51.466938,5.379283,0.55,22
135810,51.467017,5.379267,0.65,22
135810,51.467017,5.379267,0.56,22
135810,51.467017,5.379267,0.57,22
135810,51.467017,5.379267,0.58,22
135810,51.467017,5.379267,0.54,22
135810,51.467017,5.379267,0.31,22
135810,51.467017,5.379267,0.46,22
135810,51.467017,5.379267,0.5,22
135810,51.467017,5.379267,0.36,22
135810,51.467017,5.379267,0.33,22
135811,51.467107,5.379324,0.42,22
135811,51.467107,5.379324,0.27,22
135811,51.467107,5.379324,0.43,22
